"Strain","Stress_MPa","loading_type","temp","lot","specimen","filename"
0.000231358681820837,57.714982447519,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000246579262095469,58.6380089448814,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000265953764902213,59.5623041943035,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000285863548560473,60.4882501946022,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000301244348559666,61.4158628100663,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000310984942651976,62.3449809919375,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000324382979821454,63.275083136429,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000333302151591137,64.2066259136674,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000343242576782211,65.1399248560466,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000358449128026603,66.0744500456858,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000368859801771783,67.0115848945743,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000381938370528647,67.9516892462384,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000392769343020662,68.8930514634298,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00040541167802074,69.8353231368456,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000419315931220852,70.77875333356,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000428350772464602,71.7234687483661,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000442576285394327,72.6698397831494,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000456093082468348,73.6176839442601,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.00046562169908621,74.5669108058581,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000484532166719756,75.5174817471726,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000496938029402307,76.4698109881339,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000514912544825516,77.4227931226546,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000537185006567601,78.3765645826264,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000556450241668077,79.3301966014391,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000578987363738549,80.284813458185,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000589831865488545,81.2411328162728,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000602531903771444,82.1997389699875,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000612574552267251,83.1598531516856,"P",20,"F","1","P_020_F_1_017_198_18.csv"
0.000623458310768718,84.1213988848277,"P",20,"F","1","P_020_F_1_017_198_18.csv"
